date,media,article_id,category,subcategory,page_views
20260815,Digmedia,314766,テスト,test,1
20260815,Digmedia,314778,テスト,test,1
20260815,Digmedia,314840,テスト,test,1
20260815,Digmedia,314865,テスト,test,1
20260815,Digmedia,314873,テスト,test,1
20260815,Digmedia,314917,テスト,test,1
20260815,Digmedia,314939,テスト,test,1
20260815,Digmedia,314954,テスト,test,5
20260815,Digmedia,315010,テスト,test,1
20260815,Digmedia,315012,テスト,test,1
20260815,Digmedia,315021,テスト,test,1
20260815,Digmedia,315046,テスト,test,1
20260815,Digmedia,315082,テスト,test,1
20260815,Digmedia,315087,テスト,test,2
20260815,Digmedia,315127,テスト,test,1
20260815,Digmedia,315174,テスト,test,1
20260815,Digmedia,315178,テスト,test,1
20260815,Digmedia,315192,テスト,test,1
20260815,Digmedia,315193,志望動機,業界,2
20260815,Digmedia,315206,テスト,test,1
20260815,Digmedia,315208,テスト,test,1
20260815,Digmedia,315218,テスト,test,8
20260815,Digmedia,315259,テスト,test,2
20260815,Digmedia,315268,テスト,test,1
20260815,Digmedia,315292,テスト,test,3
20260815,Digmedia,315306,テスト,test,1
20260815,Digmedia,315313,テスト,test,1
20260815,Digmedia,315317,テスト,test,1
20260815,Digmedia,315382,未設定,未設定,4
20260815,Digmedia,315383,志望動機,志望動機,1
20260815,Digmedia,315421,テスト,test,2
20260815,Digmedia,315437,テスト,test,1
20260815,Digmedia,315447,テスト,test,2
20260815,Digmedia,315461,テスト,test,1
20260815,Digmedia,315478,テスト,test,1
20260815,Digmedia,315488,テスト,test,1
20260815,Digmedia,315540,テスト,test,1
20260815,Digmedia,315543,テスト,test,1
20260815,Digmedia,315555,テスト,test,0
20260815,Digmedia,315613,テスト,test,1
20260815,Digmedia,315635,3年生,Internship,1
20260815,Digmedia,315643,3年生,Internship,2
20260815,Digmedia,315646,3年生,Internship,1
20260815,Digmedia,315648,3年生,Internship,5
20260815,Digmedia,315649,3年生,Internship,1
20260815,Digmedia,315650,3年生,Internship,1
20260815,Digmedia,315657,3年生,Internship,1
20260815,Digmedia,315663,3年生,Internship,1
20260815,Digmedia,315667,3年生,Internship,2
20260815,Digmedia,315668,3年生,Internship,1
20260815,Digmedia,315675,3年生,Internship,5
